value_en	description_en	codesystem	code	description_code
SureSelectXT2 DNA Kinome, 16 samples. Ad by Agilent Technologies	SureSelectXT2 DNA Kinome, 16 samples. Ad by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 DNA Kinome, 480 samples wi by Agilent Technologies	SureSelectXT2 DNA Kinome, 480 samples wi by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 DNA Kinome, 480 samples. A by Agilent Technologies	SureSelectXT2 DNA Kinome, 480 samples. A by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 DNA Kinome, 96 samples wit by Agilent Technologies	SureSelectXT2 DNA Kinome, 96 samples wit by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 DNA Kinome, 96 samples. Ad by Agilent Technologies	SureSelectXT2 DNA Kinome, 96 samples. Ad by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Human All Exon V4+UTRs, 16 by Agilent Technologies	SureSelectXT2 Human All Exon V4+UTRs, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Human All Exon V4+UTRs, 48 by Agilent Technologies	SureSelectXT2 Human All Exon V4+UTRs, 48 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Human All Exon V4+UTRs, 96 by Agilent Technologies	SureSelectXT2 Human All Exon V4+UTRs, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Human All Exon V4, 16 samp by Agilent Technologies	SureSelectXT2 Human All Exon V4, 16 samp by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Human All Exon V4, 480 sam by Agilent Technologies	SureSelectXT2 Human All Exon V4, 480 sam by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Human All Exon V4, 96 samp by Agilent Technologies	SureSelectXT2 Human All Exon V4, 96 samp by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 HumanAllExon V5+UTRs, 16 by Agilent Technologies	SureSelectXT2 HumanAllExon V5+UTRs, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 0.5-2.9Mb, 96, Auto by Agilent Technologies	SureSelectXT2 Custom 0.5-2.9Mb, 96, Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 0.5-2.9Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 0.5-2.9Mb, 96, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 0.5-2.9Mb,480,RO by Agilent Technologies	SureSelectXT2 Custom 0.5-2.9Mb,480,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 16 by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 16, RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 16, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 480 by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 480 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 480, Auto by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 480, Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 480, RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 480, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 96 by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 96, Auto by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 96, Auto by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb, 96, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb,480,Auto,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 1kb-499kb, 16 by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 16 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 1kb-499kb, 16, RO by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 16, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 1kb-499kb, 480 by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 480 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 1kb-499kb, 480, RO by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 480, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 1kb-499kb, 96 by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 96 by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
SureSelectXT2 Custom 1kb-499kb, 96, RO by Agilent Technologies	SureSelectXT2 Custom 1kb-499kb, 96, RO by Agilent Technologies	biocompare.com	na	biocompare.com, May 2020
