value_en	description_en	codesystem	code	description_code
Occupational asthma Biobank	Occupational asthma Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKSBQFGACQK2ME25QAAE	Occupational asthma Biobank
Oogziekenhuis Biobank	Oogziekenhuis Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPJXYJXSACQK2ME25QAAE	Oogziekenhuis Biobank
ORIGO Biobank	ORIGO Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKM4ZVGACQK2ME25QAAE	ORIGO Biobank
PACMAN Biobank	PACMAN Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPRARQ4KACQK2ME25QAAE	PACMAN Biobank
PALGA	PALGA	bbmri-eric	bbmri-eric:ID:NL_aaaacz5gvxsieacqk2mgyyqaae	PALGA
Parelsnoer	Parelsnoer	bbmri-eric	bbmri-eric:ID:NL_aaaacz5nbabrsacqk2mgyyqaae	Parelsnoer
PARISK	PARISK	bbmri-eric	bbmri-eric:ID:NL_aaaacz5nb2ytqacqk2mgyyqaae	PARISK
PAS Biobank	PAS Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXS4EWC6CACQK2MBZ5YAAE	PAS Biobank
PIAMA Biobank	PIAMA Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKKEALKACQK2ME25QAAE	PIAMA Biobank
POPS Biobank	POPS Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKFIXU4ACQK2ME25QAAE	POPS Biobank
Postpartum psychosis biobank	Postpartum psychosis biobank	bbmri-eric	bbmri-eric:ID:NL_aaaac2dvrk2baacqk2mpm4yaau	Postpartum psychosis biobank
PPHVZ Biobank	PPHVZ Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKT6T6WACQK2ME25QAAM	PPHVZ Biobank
PRECISION Biobank	PRECISION Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACYWYFU3V4ACQK2MDM4QAAM	PRECISION Biobank
Radboud Biobank	Radboud Biobank	bbmri-eric	bbmri-eric:ID:NL_RBB	Radboud Biobank
RECOGIDAS MUESTRAS Biobank	RECOGIDAS MUESTRAS Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFMQJ7WACQK2ME25QAAM	RECOGIDAS MUESTRAS Biobank
Research Arthritis and Articular Cartilage Biobank	Research Arthritis and Articular Cartilage Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPF4GVAEACQK2ME25QAAE	Research Arthritis and Articular Cartilage Biobank
Rijksdienst voor Volksgezondheid en Milieu	Rijksdienst voor Volksgezondheid en Milieu	bbmri-eric	bbmri-eric:ID:NL_AAAACXPRA5XCUACQK2ME25QAAE	Rijksdienst voor Volksgezondheid en Milieu
Severely Obese Individuals Maastricht	Severely Obese Individuals Maastricht	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFU3BUUACQK2ME25QAAE	Severely Obese Individuals Maastricht
SIMPEL trials Biobank	SIMPEL trials Biobank	bbmri-eric	bbmri-eric:ID:NL_aaaaczwp435cwacqk2mo6qaaae	SIMPEL trials Biobank
SMART Biobank	SMART Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKUTPDUACQK2ME25QAAE	SMART Biobank
SMILE Biobank	SMILE Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPRABDP2ACQK2ME25QAAE	SMILE Biobank
Surinamese in the netherlands: study on ethnicity and health Biobank	Surinamese in the netherlands: study on ethnicity and health Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFMLKW2ACQK2ME25QAAE	Surinamese in the netherlands: study on ethnicity and health Biobank
Tamoxifen Exemestane Adjuvant Multinational Biobank	Tamoxifen Exemestane Adjuvant Multinational Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPF3ZSUWACQK2ME25QAAM	Tamoxifen Exemestane Adjuvant Multinational Biobank
The Nightingale Study Biobank	The Nightingale Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPLBYGYCACQK2ME25QAAE	The Nightingale Study Biobank
TRAILS biobank	TRAILS biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXO74P6CWACQK2ME25QAAE	TRAILS biobank
Tuberculosis Indonesia Biobank	Tuberculosis Indonesia Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFV6EUKACQK2ME25QAAM	Tuberculosis Indonesia Biobank
UMCG Research Data and Biobanking Team	UMCG Research Data and Biobanking Team	bbmri-eric	bbmri-eric:ID:NL_AAAACXPASAS2AACQK2ME25QAAE	UMCG Research Data and Biobanking Team
Utrecht Clamp Cohort Biobank	Utrecht Clamp Cohort Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFOKGE6ACQK2ME25QAAE	Utrecht Clamp Cohort Biobank
Utrecht Coronary Biobank	Utrecht Coronary Biobank	bbmri-eric	bbmri-eric:ID:NL_aaaaczwpyvddcacqk2mo6qaaae	Utrecht Coronary Biobank
Utrecht Depression Epidemiology Study Biobank	Utrecht Depression Epidemiology Study Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFPWGMSACQK2ME25QAAE	Utrecht Depression Epidemiology Study Biobank
U-TWIN Biobank	U-TWIN Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKIFC32ACQK2ME25QAAM	U-TWIN Biobank
Vascular Disease Biobank	Vascular Disease Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPRAIR7CACQK2ME25QAAI	Vascular Disease Biobank
Vrije Unversiteit Medisch Centrum Bacteriele Meningitis	Vrije Unversiteit Medisch Centrum Bacteriele Meningitis	bbmri-eric	bbmri-eric:ID:NL_AAAACXPAGSMBGACQK2ME25QAAI	Vrije Unversiteit Medisch Centrum Bacteriele Meningitis
Vrije Unversiteit Medisch Centrum Bacteriele Meningitis Biobank	Vrije Unversiteit Medisch Centrum Bacteriele Meningitis Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPFX7P3EACQK2ME25QAAE	Vrije Unversiteit Medisch Centrum Bacteriele Meningitis Biobank
Wageningen University Research Biobank	Wageningen University Research Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACW5ELBQ4WZSUAVNCZ2AAAE	Wageningen University Research Biobank
WHISTLER Biobank	WHISTLER Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPKLWV6CACQK2ME25QAAE	WHISTLER Biobank
Zutphen Biobank	Zutphen Biobank	bbmri-eric	bbmri-eric:ID:NL_AAAACXPRBD7XQACQK2ME25QAAE	Zutphen Biobank
