value_en	description_en	codesystem	code	description_code
Guatemala 	Guatemala 	snomedCT	SNOMEDCT:315435003	Ethnic origins in Guatemala (finding)
Latvia 	Latvia 	snomedCT	SNOMEDCT:315462006	Ethnic origins in Latvia (finding)
Greece 	Greece 	snomedCT	SNOMEDCT:315433005	Ethnic origins in Greece (finding)
Venezuela 	Venezuela 	snomedCT	SNOMEDCT:315558002	Ethnic origins in Venezuela (finding)
Namibia 	Namibia 	snomedCT	SNOMEDCT:315485007	Ethnic origins in Namibia (finding)
Kenya 	Kenya 	snomedCT	SNOMEDCT:315456001	Ethnic origins in Kenya (finding)
Tunisia 	Tunisia 	snomedCT	SNOMEDCT:315546002	Ethnic origins in Tunisia (finding)
Bangladesh 	Bangladesh 	snomedCT	SNOMEDCT:315379001	Ethnic origins in Bangladesh (finding)
Scotland 	Scotland 	snomedCT	SNOMEDCT:315515001	Ethnic origins in Scotland (finding)
Uruguay 	Uruguay 	snomedCT	SNOMEDCT:315554000	Ethnic origins in Uruguay (finding)
Morocco 	Morocco 	snomedCT	SNOMEDCT:315483000	Ethnic origins in Morocco (finding)
Jamaica 	Jamaica 	snomedCT	SNOMEDCT:315452004	Ethnic origins in Jamaica (finding)
Malawi 	Malawi 	snomedCT	SNOMEDCT:315471002	Ethnic origins in Malawi (finding)
Suriname 	Suriname 	snomedCT	SNOMEDCT:315532002	Ethnic origins in Suriname (finding)
The Netherlands 	The Netherlands 	snomedCT	SNOMEDCT:315542000	Ethnic origins in The Netherlands (finding)
Belgium 	Belgium 	snomedCT	SNOMEDCT:315381004	Ethnic origins in Belgium (finding)
St. Kitts and Nevis 	St. Kitts and Nevis 	snomedCT	SNOMEDCT:315528008	Ethnic origins in St. Kitts and Nevis (finding)
Uzbekistan 	Uzbekistan 	snomedCT	SNOMEDCT:315555004	Ethnic origins in Uzbekistan (finding)
Tanzania 	Tanzania 	snomedCT	SNOMEDCT:315539006	Ethnic origins in Tanzania (finding)
Kuwait 	Kuwait 	snomedCT	SNOMEDCT:315459008	Ethnic origins in Kuwait (finding)
New Zealand 	New Zealand 	snomedCT	SNOMEDCT:315488009	Ethnic origins in New Zealand (finding)
British Guyana 	British Guyana 	snomedCT	SNOMEDCT:315390006	Ethnic origins in British Guyana (finding)
