codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_4300216	supraneural 4 element	supraneural 4 element	supraneural 4 element
obo	obo:UBERON_3000260	lamina nariochoanalis	lamina nariochoanalis	lamina nariochoanalis
obo	obo:UBERON_0005367	hippocampus granule cell layer	hippocampus granule cell layer	hippocampus granule cell layer
obo	obo:UBERON_0002764	inferior precentral sulcus	inferior precentral sulcus	inferior precentral sulcus
obo	obo:UBERON_0004464	musculature of thorax	musculature of thorax	musculature of thorax
obo	obo:UBERON_0003055	periderm	periderm	periderm
obo	obo:UBERON_0005606	hyaloid cavity	hyaloid cavity	hyaloid cavity
obo	obo:UBERON_0003906	cardiac jelly	cardiac jelly	cardiac jelly
obo	obo:UBERON_0034951	subcutaneous lymph sac	subcutaneous lymph sac	subcutaneous lymph sac
obo	obo:UBERON_4200080	fibular crest	fibular crest	fibular crest
obo	obo:NCBITaxon_9499	Alouatta	Alouatta	Alouatta
obo	obo:UBERON_0018230	femoral canal	femoral canal	femoral canal
obo	obo:UBERON_0035514	special sense organ system	special sense organ system	special sense organ system
obo	obo:UBERON_0016530	parietal cortex	parietal cortex	parietal cortex
obo	obo:UBERON_2200947	dorsal fin proximal radial cartilage	dorsal fin proximal radial cartilage	dorsal fin proximal radial cartilage
obo	obo:UBERON_0010358	arch of centrum of vertebra	arch of centrum of vertebra	arch of centrum of vertebra
obo	obo:UBERON_3000945	inscriptional rib	inscriptional rib	inscriptional rib
obo	obo:UBERON_0001211	Peyer's patch	Peyer's patch	Peyer's patch
obo	obo:UBERON_0023865	medial ventral tegmental area	medial ventral tegmental area	medial ventral tegmental area
obo	obo:UBERON_0006539	mammary gland fluid/secretion	mammary gland fluid/secretion	mammary gland fluid/secretion
obo	obo:UBERON_0012296	urethral crest	urethral crest	urethral crest
obo	obo:UBERON_2001693	protractor operculi	protractor operculi	protractor operculi
obo	obo:UBERON_4400007	camptotrichium	camptotrichium	camptotrichium
obo	obo:UBERON_0006088	inferior parietal cortex	inferior parietal cortex	inferior parietal cortex
obo	obo:UBERON_0001785	cranial nerve	cranial nerve	cranial nerve
obo	obo:UBERON_0011972	medial ligament of ankle joint	medial ligament of ankle joint	medial ligament of ankle joint
obo	obo:UBERON_0002232	olfactory gland	olfactory gland	olfactory gland
obo	obo:UBERON_3010123	finger fringes	finger fringes	finger fringes
obo	obo:UBERON_0003251	temporal part of head	temporal part of head	temporal part of head
obo	obo:UBERON_3000711	procoelous	procoelous	procoelous
obo	obo:UBERON_0002809	right temporal lobe	right temporal lobe	right temporal lobe
obo	obo:UBERON_0002114	duodenum	duodenum	duodenum
obo	obo:UBERON_2005114	middle lateral line system	middle lateral line system	middle lateral line system
obo	obo:UBERON_0013114	compressor glandulae muscle	compressor glandulae muscle	compressor glandulae muscle
obo	obo:PR_000001412	PR_000001412	PR_000001412	PR_000001412
obo	obo:UBERON_0007220	late embryonic stage	late embryonic stage	late embryonic stage
obo	obo:UBERON_0036001	A14 dopaminergic cell group	A14 dopaminergic cell group	A14 dopaminergic cell group
obo	obo:UBERON_0001090	synovial fluid	synovial fluid	synovial fluid
obo	obo:UBERON_0005797	bipartite uterus	bipartite uterus	bipartite uterus
obo	obo:UBERON_2001379	UBERON_2001379	UBERON_2001379	UBERON_2001379
